distribuidora_id,NumCNPJAgenteDistribuidora,SigAgenteDistribuidora,NomAgenteDistribuidora
93,25086034000171,ETO,ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.
94,91982348000187,HIDROPAN,HIDROPAN DISTRIBUIÇÃO DE ENERGIA S.A.
95,60444437000146,LIGHT SESA,LIGHT SERVICOS DE ELETRICIDADE S A
96,97578090000134,MUXENERGIA,MUXFELDT MARIN E CIA LTDA
97,07522669000192,NEOENERGIA BRASÍLIA,NEOENERGIA DISTRIBUICAO BRASILIA S.A.
98,10835932000108,NEOENERGIA PE,COMPANHIA ENERGETICA DE PERNAMBUCO
99,89435598000155,NÃO INFORMADO,CRERAL - COOPERATIVA REGIONAL DE ELETRIFICACAO RURAL DO ALTO URUGUAI
100,79850574000109,PACTO ENERGIA PR,FORCA E LUZ CORONEL VIVIDA LTDA
101,02016440000162,RGE SUL,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.
102,13255658000196,SULGIPE,COMPANHIA SUL SERGIPANA DE ELETRICIDADE
103,89889604000144,UHENPAL,NOVA PALMA ENERGIA LTDA
